#Coordinate, 61.46667_2.16667
YY,MM,DD,HH,Min,CD317,CS317
1984,7,17,12,10,120.1,15.4
1984,7,17,12,20,123.6,15.7
1984,7,17,12,30,123.6,16.1
1984,7,17,12,40,124.6,16.7
1984,7,17,12,50,127.1,17
1984,7,17,13,00,127.1,17
1984,7,17,13,10,128.1,17.3
1984,7,17,13,20,129.5,17.3
1984,7,17,13,30,129.9,17
1984,7,17,13,40,132,17.3
1984,7,17,13,50,136.2,17.3
1984,7,17,14,00,136.1,16.7
1984,7,17,14,10,141,16.7
1984,7,17,14,20,140.7,17.9
1984,7,17,14,30,141.4,18.2
1984,7,17,14,40,140.7,17.9
1984,7,17,14,50,140.7,17
1984,7,17,15,00,139.6,16.7
1984,7,17,15,10,140,16.7
1984,7,17,15,20,141,16.4
1984,7,17,15,30,144.5,15.7
1984,7,17,15,40,146.6,14.5
1984,7,17,15,50,141.7,13.5
1984,7,17,16,00,140,13.6
1984,7,17,16,10,140.4,13.6
1984,7,17,16,20,143.5,13.2
1984,7,17,16,30,141.4,12.6
1984,7,17,16,40,137.2,12.3
1984,7,17,16,50,135.4,12
1984,7,17,17,00,132.3,11.7
1984,7,17,17,10,130.2,12
1984,7,17,17,20,130.2,11.4
1984,7,17,17,30,126.7,10.4
1984,7,17,17,40,118.7,11.7
1984,7,17,17,50,115.2,12
1984,7,17,18,00,114.8,11.4
1984,7,17,18,10,112.1,10.7
1984,7,17,18,20,115.5,10.7
1984,7,17,18,30,126.7,11.7
1984,7,17,18,40,145.6,11.7
1984,7,17,18,50,142.4,12.3
1984,7,17,19,00,143.5,12.9
1984,7,17,19,10,142.8,12.3
1984,7,17,19,20,142.8,11.7
1984,7,17,19,30,141.7,11.1
1984,7,17,19,40,137.2,11.7
1984,7,17,19,50,140.7,11.4
1984,7,17,20,00,138.6,12
1984,7,17,20,10,139.3,12.6
1984,7,17,20,20,142.8,11.7
1984,7,17,20,30,140.3,10.7
1984,7,17,20,40,137.2,11.1
1984,7,17,20,50,135.1,11.7
1984,7,17,21,00,135.1,12.6
1984,7,17,21,10,140.7,12.6
1984,7,17,21,20,135.8,13.6
1984,7,17,21,30,137.6,13.9
1984,7,17,21,40,134.4,13.6
1984,7,17,21,50,137.2,14.8
1984,7,17,22,00,134.4,15.4
1984,7,17,22,10,137.2,16.1
1984,7,17,22,20,136.1,16.7
1984,7,17,22,30,137.9,17.3
1984,7,17,22,40,138.9,17.3
1984,7,17,22,50,139.3,17
1984,7,17,23,00,143.8,16.7
1984,7,17,23,10,143.8,16.7
1984,7,17,23,20,142.8,17.3
1984,7,17,23,30,142.8,17.6
1984,7,17,23,40,140.7,17.3
1984,7,17,23,50,142.4,17.9
1984,7,18,0,00,143.1,18.2
1984,7,18,0,10,146.6,19.5
1984,7,18,0,20,147.3,19.2
1984,7,18,0,30,145.6,17.9
1984,7,18,0,40,145.9,18.6
1984,7,18,0,50,142.4,18.9
1984,7,18,1,00,149.4,18.6
1984,7,18,1,10,149.8,18.6
1984,7,18,1,20,150.5,18.6
1984,7,18,1,30,149.4,18.2
1984,7,18,1,40,150.5,19.5
1984,7,18,1,50,151.5,19.5
1984,7,18,2,00,154.3,20.1
1984,7,18,2,10,153.9,20.4
1984,7,18,2,20,155,18.9
1984,7,18,2,30,152.2,19.8
1984,7,18,2,40,149.8,20.1
1984,7,18,2,50,151.5,18.9
1984,7,18,3,00,153.6,18.2
1984,7,18,3,10,155,18.2
1984,7,18,3,20,155.7,17.6
1984,7,18,3,30,154.3,20.4
1984,7,18,3,40,156.4,20.7
1984,7,18,3,50,156,19.8
1984,7,18,4,00,157.1,18.2
1984,7,18,4,10,158.8,16.4
1984,7,18,4,20,158.1,16.4
1984,7,18,4,30,157.8,16.7
1984,7,18,4,40,158.5,16.4
1984,7,18,4,50,158.1,13.9
1984,7,18,5,00,156.4,13.6
1984,7,18,5,10,158.8,14.8
1984,7,18,5,20,160.2,14.2
1984,7,18,5,30,153.9,15.1
1984,7,18,5,40,153.6,16.1
1984,7,18,5,50,153.3,16.4
1984,7,18,6,00,157.1,15.4
1984,7,18,6,10,156.1,15.4
1984,7,18,6,20,164.5,13.9
1984,7,18,6,30,158.5,13.9
1984,7,18,6,40,165.1,13.9
1984,7,18,6,50,165.8,13.2
1984,7,18,7,00,159.9,13.9
1984,7,18,7,10,150.5,12.6
1984,7,18,7,20,153.2,12
1984,7,18,7,30,151.1,11.4
1984,7,18,7,40,152.2,11.4
1984,7,18,7,50,144.5,11.4
1984,7,18,8,00,143.8,12.3
1984,7,18,8,10,135.1,12.6
1984,7,18,8,20,132,11.7
1984,7,18,8,30,131.6,11.1
1984,7,18,8,40,130.6,11.4
1984,7,18,8,50,125.3,10.7
1984,7,18,9,00,126.7,11.7
1984,7,18,9,10,128.5,11
