height,period,angle_from_north
1.8,8.25,2.61799388
1.7,8.4,2.91469985
1.4,7.95,3.08923278
1.5,7.95,2.84488668
1.1,7.35,2.8099801
1.1,7.35,2.63544717
1.1,6.9,2.54818071
1,6.6,2.77507351
1,6.45,2.82743339
0.9,6,2.7925268
0.9,5.85,3.00196631
0.9,6.15,3.0368729
0.9,6.15,3.14159265
0.9,6.15,3.00196631
0.8,5.7,3.01941961
0.9,6.15,3.56047167
0.9,6.15,3.19395253
1.1,6,3.5081118
1.1,6.3,3.59537826
1.3,6.9,3.82227106
1.2,6.6,3.80481777
1.5,7.05,3.4906585
1.2,7.05,2.565634
1.3,6.9,2.40855437
1.3,6.45,2.30383461
1.7,6.9,2.23402144
2.2,7.5,2.3387412
2.2,7.8,2.40855437
1.9,7.35,2.51327412
1.8,7.2,2.58308729
1.9,7.2,2.67035376
1.6,7.05,2.61799388
1.6,7.2,2.61799388
1.8,6.9,2.82743339
1.3,6.9,2.7925268
1.3,6.3,2.70526034
1.5,6.45,2.7925268
1.8,7.05,2.89724656
1.5,6.9,3.10668607
1.5,6.9,3.24631241
1.5,6.6,3.10668607
1.5,6.45,3.28121899
1.5,6.45,3.12413936
1.5,7.05,3.21140582
1.6,6.9,3.40339204
1.8,7.2,3.57792497
1.5,6.45,3.59537826
1.5,6.75,3.7350046
1.6,6.9,3.7350046
1.6,6.9,3.94444411
1.9,7.65,4.15388362
1.8,7.5,4.2062435
1.8,7.5,4.34586984
1.6,7.2,4.83456203
1.4,7.2,6.0737458
1,6.45,5.89921287
1,6.6,5.79449312
1,6.75,5.56760031
1,6.3,5.61996019
1,6.3,5.56760031
1.2,6.6,5.48033385
1.2,6.45,5.77703982
1.4,6.3,5.81194641
1.4,6.9,5.81194641
1.6,7.35,5.86430629
1.3,7.35,5.58505361
1.2,7.35,5.28834763
1.3,6.9,5.25344105
1.5,6.6,4.86946861
1.5,7.05,4.83456203
2,7.2,4.53785606
2.3,7.8,4.79965544
2.5,8.25,5.55014702
2.6,8.1,5.86430629
3.4,9.3,5.89921287
3.2,9.3,6.0562925
3.4,9.6,5.93411946
4,10.65,6.10865238
4.6,11.55,5.86430629
3.6,9.9,5.77703982
4,10.2,5.93411946
3.8,10.35,5.81194641
3.3,9.6,5.61996019
3,9.6,5.20108117
2.5,9,5.04400154
3,9.9,5.09636142
2.5,8.4,5.23598776
3,9,5.32325422
3.8,9.6,5.3581608
4.9,10.95,5.70722665
6.6,12.6,5.8293997
5.8,12,5.77703982
5.9,12.3,5.77703982
6.4,12.6,5.74213324
5.8,12.45,5.77703982
4.8,11.85,5.79449312
4.5,12.15,5.77703982
4.9,12.6,5.77703982
3.9,10.8,5.65486678
3.5,11.4,5.53269373
3.7,11.1,5.49778714
3.3,10.5,5.56760031
2.8,10.2,5.21853446
2.8,10.8,5.09636142
3.1,10.65,4.72984227
2.9,10.35,4.60766923
2.4,8.85,4.62512252
2.4,9.3,4.55530935
2.3,9.45,4.59021593
2.3,8.85,4.50294947
2.5,8.55,4.62512252
2.2,9,4.93928178
2.3,9,5.06145483
2.4,9.3,5.00909495
2.1,8.55,4.92182849
2.1,8.4,4.78220215
2,8.4,4.78220215
1.9,7.8,4.93928178
2.2,9,4.85201532
1.9,8.85,4.6774824
1.9,8.7,4.46804289
2,8.85,4.17133691
1.9,9,4.17133691
2,8.4,4.03171057
1.9,7.8,3.92699082
1.9,7.95,3.75245789
2.2,7.8,3.80481777
2.3,7.8,3.94444411
2.5,8.55,4.06661716
2.6,8.25,4.03171057
2.6,8.4,3.89208423
3.3,9.15,3.90953752
3.1,8.85,4.22369679
3.2,9.3,4.60766923
4.5,10.2,4.62512252
4.4,10.2,4.53785606
3.8,10.2,4.6600291
3.8,10.5,4.85201532
3.6,9.9,5.46288056
4.8,10.8,5.28834763
4.3,10.35,5.6025069
4.7,11.25,5.72467995
4.5,10.65,5.68977336
5.1,11.55,5.32325422
5,11.7,5.51524044
5.1,12.15,5.55014702
5.1,12.6,5.65486678
4.1,11.7,5.53269373
4.3,12.15,5.3756141
4.1,11.7,4.71238898
3.9,10.95,4.55530935
2.9,10.2,4.4331363
3,10.35,4.34586984
2.9,10.05,4.04916386
2.7,8.7,3.94444411
3,9,3.82227106
3.2,9,3.92699082
4.3,10.2,3.94444411
5,10.8,3.94444411
5,10.8,3.94444411
4.5,10.8,4.31096325
4.2,10.95,4.53785606
3.8,10.5,4.62512252
3.6,10.5,4.71238898
3,9.9,4.69493569
2.8,9.9,4.60766923
2.5,9.3,4.6774824
2,9,4.31096325
1.9,8.85,4.13643033
2.1,8.85,4.04916386
2,8.4,4.08407045
2,7.95,4.11897703
2,7.65,4.13643033
2,7.65,4.01425728
2,7.65,3.92699082
2,7.65,3.90953752
2,7.65,3.99680399
2,7.65,4.03171057
3.1,9,3.94444411
2.7,8.7,3.85717765
3.5,9.6,3.78736448
4.3,10.35,3.82227106
5,10.95,3.99680399
4.2,10.2,4.2062435
4.1,10.2,4.45058959
3.7,10.2,4.45058959
3,10.05,5.07890812
3,9.3,4.93928178
2.7,9,4.95673508
2.4,8.85,5.04400154
2,8.7,4.52040276
2.4,9,4.22369679
2,8.7,4.10152374
2,8.4,4.48549618
2.1,8.1,4.34586984
2.4,8.1,4.41568301
2.9,8.7,4.4331363
3.5,9.15,4.53785606
2.9,8.85,4.59021593
2.8,9,4.64257581
2.9,9.3,4.79965544
2.3,8.85,4.6600291
2.2,8.4,4.59021593
2.1,7.95,4.69493569
2.7,8.7,4.86946861
2.6,9,4.76474886
2.9,9,4.74729557
3.4,9.9,4.74729557
3.7,10.5,4.78220215
3.8,10.8,4.72984227
3.8,10.35,4.69493569
4.3,11.1,4.71238898
3.6,10.5,4.76474886
3.9,10.8,4.81710874
3.9,10.65,4.92182849
3.9,10.95,4.81710874
3.5,10.35,4.85201532
3.4,10.5,4.78220215
3.1,10.2,4.85201532
2.8,9.45,4.85201532
2.3,9.45,4.95673508
2.3,9,5.09636142
2,8.85,5.98647933
1.8,9.15,6.00393263
2,9.45,6.00393263
1.7,9.15,5.72467995
1.7,9.15,6.00393263
1.6,8.85,4.55530935
1.3,8.4,3.76991118
1.2,8.25,4.04916386
1.1,7.8,4.10152374
1.1,7.65,3.5081118
1,7.2,3.64773814
1,6.45,3.36848546
1.2,6.15,3.78736448
1.6,6.6,3.99680399
1.6,6.9,4.17133691
1.7,7.35,4.17133691
1.6,7.05,4.2062435
1.5,7.2,4.31096325
1.6,7.65,4.34586984
1.5,6.9,4.31096325
1.5,7.2,4.41568301
1.7,7.2,4.13643033
1.5,7.05,4.08407045
1.5,6.9,4.31096325
1.3,6.75,4.46804289
1.4,6.9,4.62512252
1.5,7.2,4.69493569
1.3,7.05,4.79965544
1.5,7.35,4.71238898
1.4,7.2,4.6774824
1.2,7.05,4.99164166
1.3,7.35,5.00909495
1.3,7.35,5.16617459
1.5,8.55,5.18362788
1.3,8.25,4.69493569
